Forty Fifty Sixty Seventy Eighty Ninety
ENSG00000137185 0 0 1 0 1 0
ENSG00000066056 0 0 1 0 0 0
ENSG00000148843 0 0 1 0 0 0
ENSG00000165912 0 0 1 0 1 1
ENSG00000080644 0 0 1 0 0 0
ENSG00000204435 0 0 1 1 0 0
ENSG00000247626 0 0 1 0 0 0
ENSG00000214922 0 0 1 0 1 1
ENSG00000189343 0 0 1 0 0 0
ENSG00000111358 0 0 1 0 0 0
ENSG00000176956 0 0 1 0 1 1
ENSG00000121653 0 0 1 0 0 0
ENSG00000262246 0 0 1 0 0 1
ENSG00000166845 0 0 1 0 0 0
ENSG00000227507 0 0 1 0 0 0
ENSG00000155530 0 0 1 1 0 0
ENSG00000230795 0 0 1 0 0 0
ENSG00000223501 0 0 1 0 0 0
ENSG00000204650 0 0 1 0 0 1
ENSG00000227078 0 0 1 0 0 0
ENSG00000113108 0 0 1 0 0 0
ENSG00000143458 0 0 1 0 0 0
ENSG00000187772 0 0 1 0 1 0
ENSG00000177082 0 0 1 1 0 0
ENSG00000122687 0 0 1 0 1 1
ENSG00000267325 0 0 1 0 0 0
ENSG00000146109 0 0 1 1 0 1
ENSG00000164037 0 0 1 0 0 0
ENSG00000114779 0 0 1 0 0 1
ENSG00000168273 0 0 1 0 0 0
ENSG00000102858 0 0 1 0 0 0
ENSG00000132394 0 0 1 0 0 1
ENSG00000133315 0 0 1 0 0 0
ENSG00000258738 0 0 1 0 0 0
ENSG00000088298 0 0 1 0 0 0
ENSG00000167523 0 0 1 0 0 0
ENSG00000176095 0 0 1 0 0 0
ENSG00000144535 0 0 1 0 0 0
ENSG00000132600 0 0 1 0 0 0
ENSG00000234745 0 0 1 1 0 0
ENSG00000100393 0 0 1 0 0 0
ENSG00000197653 0 0 1 1 1 1
ENSG00000188732 0 0 1 0 0 0
ENSG00000239557 0 0 1 0 0 0
ENSG00000116741 0 0 1 0 0 0
ENSG00000142233 0 0 1 0 0 0
ENSG00000224924 0 0 1 0 0 0
ENSG00000146830 0 0 1 0 0 0
ENSG00000076043 0 0 1 0 0 0
ENSG00000077782 0 0 1 0 0 0
ENSG00000197774 0 0 1 0 0 0
ENSG00000234127 0 0 0 1 0 1
ENSG00000257727 0 0 0 1 0 0
ENSG00000204427 0 0 0 1 0 1
ENSG00000138107 0 0 0 1 0 0
ENSG00000146535 0 0 0 1 0 0
ENSG00000204592 0 0 0 1 0 0
ENSG00000250120 0 0 0 1 0 0
ENSG00000158373 0 0 0 1 0 0
ENSG00000204482 0 0 0 1 0 0
ENSG00000005483 0 0 0 1 0 0
ENSG00000204310 0 0 0 1 0 0
ENSG00000111252 0 0 0 1 0 0
ENSG00000174943 0 0 0 1 0 0
ENSG00000230002 0 0 0 1 0 0
ENSG00000181896 0 0 0 1 0 0
ENSG00000231389 0 0 0 1 0 0
ENSG00000168237 0 0 0 1 1 0
ENSG00000180828 0 0 0 1 0 0
ENSG00000090554 0 0 0 1 0 0
ENSG00000200087 0 0 0 1 0 0
ENSG00000126062 0 0 0 1 0 0
ENSG00000111325 0 0 0 1 0 1
ENSG00000169955 0 0 0 1 0 0
ENSG00000256092 0 0 0 1 0 1
ENSG00000187323 0 0 0 1 0 1
ENSG00000100417 0 0 0 1 0 0
ENSG00000180263 0 0 0 1 0 0
ENSG00000126461 0 0 0 1 0 0
ENSG00000183166 0 0 0 1 0 0
ENSG00000196141 0 0 0 1 0 0
ENSG00000164574 0 0 0 1 0 0
ENSG00000249158 0 0 0 1 0 0
ENSG00000204231 0 0 0 1 0 0
ENSG00000241549 0 0 0 1 0 0
ENSG00000266918 0 0 0 1 0 0
ENSG00000128604 0 0 0 1 0 0
ENSG00000112855 0 0 0 1 1 0
ENSG00000167770 0 0 0 1 0 0
ENSG00000181315 0 0 0 1 0 0
ENSG00000164182 0 0 0 1 0 0
ENSG00000229672 0 0 0 1 0 1
ENSG00000239213 0 0 0 1 0 0
ENSG00000213672 0 0 0 1 0 0
ENSG00000234851 0 0 0 1 0 0
ENSG00000108587 0 0 0 1 0 0
ENSG00000163798 0 0 0 1 0 0
